Site_ID,Site_Name,lat,lon,elevation,Species_ID,Species,Genus,Individual_ID,Phenophase_ID,year,doy,Tmax_Winter,Tmin_Winter,Tmax_Spring,Tmin_Spring,Prcp_Winter,Prcp_Spring,spp,MAT,MAP,Tave_wt,Tmin_wt,Tmax_wt,Tave_sp,Tmin_sp,Tmax_sp,PPT_wt,PPT_sp,LT_Tave_wt,LT_Tmin_wt,LT_Tmax_wt,LT_Tave_sp,LT_Tmin_sp,LT_Tmax_sp,LT_PPT_wt,LT_PPT_sp,LT_MAT,LT_MAP,Tave_wt_anm,Tmin_wt_anm,Tmax_wt_anm,Tave_sp_anm,Tmin_sp_anm,Tmax_sp_anm,PPT_wt_anm,PPT_sp_anm,spp_site
5076,Goldstream uplands,64.925751,-147.880295,311,320,balsamifera,Populus,9575,483,2010,130,-13.05,-21.51,7.88,-5.99,13,20,Populus balsamifera,-1,318,-15.3,-19.4,-11.3,1.4,-4.9,7.7,19,30,-17.56611570247934,-22.382644628099172,-12.75206611570248,-0.8231404958677686,-6.910743801652893,5.265289256198347,55.31404958677686,44.611570247933884,-2.01900826446281,382.89256198347107,2.2661157024793397,2.982644628099173,1.452066115702479,2.2231404958677685,2.0107438016528922,2.434710743801653,-0.656506798147318,-0.32752871433864394,Populus balsamifera_5076
5076,Goldstream uplands,64.925751,-147.880295,311,320,balsamifera,Populus,9575,501,2010,122,-13.05,-21.51,7.88,-5.99,13,20,Populus balsamifera,-1,318,-15.3,-19.4,-11.3,1.4,-4.9,7.7,19,30,-17.56611570247934,-22.382644628099172,-12.75206611570248,-0.8231404958677686,-6.910743801652893,5.265289256198347,55.31404958677686,44.611570247933884,-2.01900826446281,382.89256198347107,2.2661157024793397,2.982644628099173,1.452066115702479,2.2231404958677685,2.0107438016528922,2.434710743801653,-0.656506798147318,-0.32752871433864394,Populus balsamifera_5076
5076,Goldstream uplands,64.925751,-147.880295,311,320,balsamifera,Populus,9575,483,2011,138,-16.39,-25.34,6.38,-8.42,46,8,Populus balsamifera,-1.5,349,-18.8,-23.3,-14.3,-0.4,-6.9,6.1,49,17,-17.56611570247934,-22.382644628099172,-12.75206611570248,-0.8231404958677686,-6.910743801652893,5.265289256198347,55.31404958677686,44.611570247933884,-2.01900826446281,382.89256198347107,-1.2338842975206603,-0.9173553719008289,-1.547933884297521,0.4231404958677686,0.010743801652892238,0.8347107438016526,-0.11414911101150457,-0.6189329381252315,Populus balsamifera_5076
5076,Goldstream uplands,64.925751,-147.880295,311,320,balsamifera,Populus,9575,501,2011,138,-16.39,-25.34,6.38,-8.42,46,8,Populus balsamifera,-1.5,349,-18.8,-23.3,-14.3,-0.4,-6.9,6.1,49,17,-17.56611570247934,-22.382644628099172,-12.75206611570248,-0.8231404958677686,-6.910743801652893,5.265289256198347,55.31404958677686,44.611570247933884,-2.01900826446281,382.89256198347107,-1.2338842975206603,-0.9173553719008289,-1.547933884297521,0.4231404958677686,0.010743801652892238,0.8347107438016526,-0.11414911101150457,-0.6189329381252315,Populus balsamifera_5076
5076,Goldstream uplands,64.925751,-147.880295,311,320,balsamifera,Populus,9575,483,2012,132,-14.43,-23.94,5.38,-8.22,61,49,Populus balsamifera,-3.1,364,-16.6,-21.4,-11.8,-1.3,-7.1,4.5,61,53,-17.56611570247934,-22.382644628099172,-12.75206611570248,-0.8231404958677686,-6.910743801652893,5.265289256198347,55.31404958677686,44.611570247933884,-2.01900826446281,382.89256198347107,0.966115702479339,0.9826446280991732,0.952066115702479,-0.47685950413223144,-0.18925619834710705,-0.7652892561983471,0.10279396384282083,0.18803260466839572,Populus balsamifera_5076
5076,Goldstream uplands,64.925751,-147.880295,311,320,balsamifera,Populus,9575,483,2013,147,-15.48,-24.63,1.81,-12.77,91,30,Populus balsamifera,-1.5,360,-17,-21.2,-12.7,-4.1,-10.3,2.1,68,39,-17.56611570247934,-22.382644628099172,-12.75206611570248,-0.8231404958677686,-6.910743801652893,5.265289256198347,55.31404958677686,44.611570247933884,-2.01900826446281,382.89256198347107,0.5661157024793404,1.1826446280991725,0.05206611570248043,-3.276859504132231,-3.389256198347108,-3.165289256198347,0.22934409084117732,-0.12578732864023712,Populus balsamifera_5076
5076,Goldstream uplands,64.925751,-147.880295,311,320,balsamifera,Populus,9575,501,2013,146,-15.48,-24.63,1.81,-12.77,91,30,Populus balsamifera,-1.5,360,-17,-21.2,-12.7,-4.1,-10.3,2.1,68,39,-17.56611570247934,-22.382644628099172,-12.75206611570248,-0.8231404958677686,-6.910743801652893,5.265289256198347,55.31404958677686,44.611570247933884,-2.01900826446281,382.89256198347107,0.5661157024793404,1.1826446280991725,0.05206611570248043,-3.276859504132231,-3.389256198347108,-3.165289256198347,0.22934409084117732,-0.12578732864023712,Populus balsamifera_5076
5076,Goldstream uplands,64.925751,-147.880295,311,320,balsamifera,Populus,9575,483,2014,125,-11.54,-20.57,7.42,-7.58,46,15,Populus balsamifera,-0.3,544,-14.2,-18.5,-9.9,0.5,-6,7.1,50,20,-17.56611570247934,-22.382644628099172,-12.75206611570248,-0.8231404958677686,-6.910743801652893,5.265289256198347,55.31404958677686,44.611570247933884,-2.01900826446281,382.89256198347107,3.366115702479341,3.8826446280991718,2.8520661157024794,1.3231404958677686,0.9107438016528926,1.8347107438016526,-0.0960705214403108,-0.551685809559096,Populus balsamifera_5076
5076,Goldstream uplands,64.925751,-147.880295,311,320,balsamifera,Populus,9575,501,2014,119,-11.54,-20.57,7.42,-7.58,46,15,Populus balsamifera,-0.3,544,-14.2,-18.5,-9.9,0.5,-6,7.1,50,20,-17.56611570247934,-22.382644628099172,-12.75206611570248,-0.8231404958677686,-6.910743801652893,5.265289256198347,55.31404958677686,44.611570247933884,-2.01900826446281,382.89256198347107,3.366115702479341,3.8826446280991718,2.8520661157024794,1.3231404958677686,0.9107438016528926,1.8347107438016526,-0.0960705214403108,-0.551685809559096,Populus balsamifera_5076
5076,Goldstream uplands,64.925751,-147.880295,311,320,balsamifera,Populus,9575,483,2015,127,-11.06,-19.13,8.78,-5.52,39,35,Populus balsamifera,0,473,-13.6,-17.7,-9.5,2.5,-3.7,8.7,48,38,-17.56611570247934,-22.382644628099172,-12.75206611570248,-0.8231404958677686,-6.910743801652893,5.265289256198347,55.31404958677686,44.611570247933884,-2.01900826446281,382.89256198347107,3.9661157024793408,4.6826446280991725,3.2520661157024797,3.3231404958677686,3.2107438016528924,3.434710743801652,-0.13222770058269837,-0.1482030381622823,Populus balsamifera_5076
