lat,lon,country,state,county,species,year,sex,sc,doy,elevation,tmax_wt,tmax_sp,tmin_wt,tmin_sp,ppt_wt,ppt_sp,NA_L3CODE,NA_L3NAME,NA_L2CODE,NA_L2NAME,LT_Tmax_wt,LT_Tmax_sp,LT_Tmin_wt,LT_Tmin_sp,LT_PPT_wt,LT_PPT_sp,Tmax_wt_anm,Tmax_sp_anm,Tmin_wt_anm,Tmin_sp_anm,PPT_wt_anm,PPT_sp_anm
40.45,-108.52,US,Colorado,Moffat,Populus deltoides,1987,M,Colorado_Moffat,137,2052.045166015625,1.2756896018981934,5.6136528015136715,-10.244420623779297,-5.784955978393555,45.022250175476074,89.93463516235352,10.1.6,Colorado Plateaus,10.1,COLD DESERTS,-0.5061579327083235,6.090782928466798,-10.495503679049216,-5.391199358290984,59.860376171257535,88.05732535871137,1.7818475346065168,-0.47713012695312607,0.2510830552699197,-0.3937566201025709,-0.247878930017585,0.0213191781148782
40.08,-108.24,US,Colorado,Rio Blanco,Populus deltoides,1979,F,Colorado_Rio Blanco,152,2199.33349609375,-6.702565765380859,3.4853492736816407,-15.697280883789064,-5.253202819824219,118.38832664489746,130.67458152770996,10.1.6,Colorado Plateaus,10.1,COLD DESERTS,-0.6432854931422709,5.647508872857616,-10.955896615497135,-5.811877086222672,75.65736160132845,97.73493253743948,-6.059280272238588,-2.162159599175975,-4.741384268291927,0.5586742663984525,0.5647958657180918,0.33703045712598434
39.87,-105.19,US,Colorado,Jefferson,Populus deltoides,1973,F,Colorado_Jefferson,158,2173.093017578125,-1.2564689636230468,5.460155487060547,-14.31011199951172,-6.503156280517578,44.56996417045593,235.54137420654297,9.4.1,High Plains,9.4,SOUTH CENTRAL SEMIARID PRAIRIES,2.2420923859891246,7.419829666314006,-11.139780887021857,-7.1887034812093775,45.551921748145155,148.69193960574495,-3.4985613496121717,-1.9596741792534589,-3.1703311124898637,0.6855472006917998,-0.02155688585694426,0.5840897282736263
37.16,-104.51,US,Colorado,Las Animas,Populus deltoides,1911,M,Colorado_Las Animas,112,1824.4205322265625,7.4524681091308596,13.729899597167968,-7.041788482666016,-1.5297526359558105,41.58627724647522,65.60188102722168,9.4.3,Southwestern Tablelands,9.4,SOUTH CENTRAL SEMIARID PRAIRIES,5.28718717199261,11.789276716088049,-7.462307367486468,-3.550525022124041,36.80787286619009,118.45692306494512,2.1652809371382498,1.940622881079921,0.420518884820452,2.0207723861682307,0.1298201718327043,-0.44619631060942866
40.66,-105.22,US,Colorado,Larimer,Populus deltoides,1973,F,Colorado_Larimer,135,2359.063232421875,-3.751215362548828,2.83958683013916,-14.529695129394533,-8.081982421875,42.51159691810608,163.40193557739258,6.2.14,Southern Rockies,6.2,WESTERN CORDILLERA,0.2834156136644098,5.389399169623352,-11.305345146696446,-8.15123559134347,47.56203218751035,136.19616822362948,-4.034630976213238,-2.549812339484192,-3.2243499826980866,0.06925316946846927,-0.1061862800456726,0.19975427876276333
40.66,-105.22,US,Colorado,Larimer,Populus deltoides,1973,M,Colorado_Larimer,135,2359.063232421875,-3.751215362548828,2.83958683013916,-14.529695129394533,-8.081982421875,42.51159691810608,163.40193557739258,6.2.14,Southern Rockies,6.2,WESTERN CORDILLERA,0.2834156136644098,5.389399169623352,-11.305345146696446,-8.15123559134347,47.56203218751035,136.19616822362948,-4.034630976213238,-2.549812339484192,-3.2243499826980866,0.06925316946846927,-0.1061862800456726,0.19975427876276333
38.27,-104.61,US,Colorado,Pueblo,Populus deltoides,1911,M,Colorado_Pueblo,111,1589.7635498046875,8.49249038696289,15.195669555664065,-5.662548828125,-0.618907356262207,33.146950483322144,47.6645450592041,9.4.3,Southwestern Tablelands,9.4,SOUTH CENTRAL SEMIARID PRAIRIES,6.21498583939116,12.645764842955003,-6.902884169433076,-3.038739172120053,29.83233732216944,106.82827598535714,2.2775045475717306,2.5499047127090595,1.240335341308076,2.419831815857846,0.1111080612074435,-0.5538208904004269
40.69,-105.35,US,Colorado,Larimer,Populus angustifolia,1972,F,Colorado_Larimer,116,2359.063232421875,-0.24892921447753907,9.311012268066406,-11.43689193725586,-5.334489059448242,31.49936962127686,95.71190071105956,6.2.14,Southern Rockies,6.2,WESTERN CORDILLERA,0.2834156136644098,5.389399169623352,-11.305345146696446,-8.15123559134347,47.56203218751035,136.19616822362948,-0.532344828141949,3.9216130984430544,-0.13154679055941365,2.8167465318952276,-0.3377202745018851,-0.29724968066719865
38.83,-104.89,US,Colorado,El Paso,Populus angustifolia,1935,F,Colorado_El Paso,153,1968.2843017578125,5.026416015625,11.573139953613282,-7.614176177978516,-3.6428287506103514,13.631268978118896,152.91879558563232,6.2.14,Southern Rockies,6.2,WESTERN CORDILLERA,3.549618111121453,9.591051144960549,-9.495842111878476,-5.692500620609572,26.18777125877849,122.40687671665384,1.476797904503547,1.9820888086527333,1.88166593389996,2.04967186999922,-0.4794796073549209,0.24926637855164915
37.59,-105.2,US,Colorado,Costilla,Populus tremuloides,1975,M,Colorado_Costilla,136,2694.1357421875,-0.995291233062744,4.854707717895508,-15.365640258789062,-8.969013214111328,68.90331840515137,78.62790155410767,6.2.14,Southern Rockies,6.2,WESTERN CORDILLERA,1.0960078662987491,6.406429790448743,-12.743992096205888,-8.801051029237378,43.58723417395253,88.74913915902627,-2.091299099361493,-1.5517220725532352,-2.621648162583174,-0.1679621848739501,0.5808141927557218,-0.11404322003374856
